data_type,n,d,livello,rep,method,measure,acc./ARI
Gauss,100,10,facile,31,pca,kmeans,0.5733
Gauss,100,10,facile,31,pca,tree,0.9
Torus,100,10,facile,31,tsne,kmeans,0.0044
Torus,100,10,facile,31,tsne,tree,0.91
Torus,100,10,facile,31,umap,kmeans,0.4573
Torus,100,10,facile,31,umap,tree,0.95
Torus,100,10,facile,31,pca,kmeans,0.0312
Torus,100,10,facile,31,pca,tree,0.92
Gauss,100,10,facile,32,tsne,kmeans,0.7026
Gauss,100,10,facile,32,tsne,tree,0.94
Gauss,100,10,facile,32,umap,kmeans,0.7721
Gauss,100,10,facile,32,umap,tree,0.9
Gauss,100,10,facile,32,pca,kmeans,0.6046
Gauss,100,10,facile,32,pca,tree,0.93
Torus,100,10,facile,32,tsne,kmeans,0.3781
Torus,100,10,facile,32,tsne,tree,0.94
Torus,100,10,facile,32,umap,kmeans,0.2036
Torus,100,10,facile,32,umap,tree,0.9
Torus,100,10,facile,32,pca,kmeans,0.0583
Torus,100,10,facile,32,pca,tree,0.95
Gauss,100,10,facile,33,tsne,kmeans,0.4849
Gauss,100,10,facile,33,tsne,tree,0.89
Gauss,100,10,facile,33,umap,kmeans,0.4571
Gauss,100,10,facile,33,umap,tree,0.86
Gauss,100,10,facile,33,pca,kmeans,0.485
Gauss,100,10,facile,33,pca,tree,0.88
Torus,100,10,facile,33,tsne,kmeans,0.3066
Torus,100,10,facile,33,tsne,tree,0.88
Torus,100,10,facile,33,umap,kmeans,0.3296
Torus,100,10,facile,33,umap,tree,0.93
Torus,100,10,facile,33,pca,kmeans,0.069
Torus,100,10,facile,33,pca,tree,0.79
Gauss,100,10,facile,34,tsne,kmeans,0.6363
Gauss,100,10,facile,34,tsne,tree,0.93
Gauss,100,10,facile,34,umap,kmeans,0.6691
Gauss,100,10,facile,34,umap,tree,0.94
Gauss,100,10,facile,34,pca,kmeans,0.7027
Gauss,100,10,facile,34,pca,tree,0.92
Torus,100,10,facile,34,tsne,kmeans,0.0388
Torus,100,10,facile,34,tsne,tree,0.93
Torus,100,10,facile,34,umap,kmeans,0.0303
Torus,100,10,facile,34,umap,tree,0.87
Torus,100,10,facile,34,pca,kmeans,0.0813
Torus,100,10,facile,34,pca,tree,0.95
Gauss,100,10,facile,35,tsne,kmeans,0.6363
Gauss,100,10,facile,35,tsne,tree,0.92
Gauss,100,10,facile,35,umap,kmeans,0.6364
Gauss,100,10,facile,35,umap,tree,0.9
Gauss,100,10,facile,35,pca,kmeans,0.6692
Gauss,100,10,facile,35,pca,tree,0.92
Torus,100,10,facile,35,tsne,kmeans,0.2424
Torus,100,10,facile,35,tsne,tree,0.98
Torus,100,10,facile,35,umap,kmeans,0.263
Torus,100,10,facile,35,umap,tree,0.93
Torus,100,10,facile,35,pca,kmeans,0.1207
Torus,100,10,facile,35,pca,tree,0.9
Gauss,100,10,facile,36,tsne,kmeans,0.4849
Gauss,100,10,facile,36,tsne,tree,0.88
Gauss,100,10,facile,36,umap,kmeans,0.5136
Gauss,100,10,facile,36,umap,tree,0.88
Gauss,100,10,facile,36,pca,kmeans,0.457
Gauss,100,10,facile,36,pca,tree,0.88
Torus,100,10,facile,36,tsne,kmeans,0.3535
Torus,100,10,facile,36,tsne,tree,0.83
Torus,100,10,facile,36,umap,kmeans,0.3538
Torus,100,10,facile,36,umap,tree,0.92
Torus,100,10,facile,36,pca,kmeans,0.1683
Torus,100,10,facile,36,pca,tree,0.88
Gauss,100,10,facile,37,tsne,kmeans,0.4851
Gauss,100,10,facile,37,tsne,tree,0.9
Gauss,100,10,facile,37,umap,kmeans,0.5137
Gauss,100,10,facile,37,umap,tree,0.89
Gauss,100,10,facile,37,pca,kmeans,0.5138
Gauss,100,10,facile,37,pca,tree,0.92
Torus,100,10,facile,37,tsne,kmeans,0.2844
Torus,100,10,facile,37,tsne,tree,0.86
Torus,100,10,facile,37,umap,kmeans,0.1357
Torus,100,10,facile,37,umap,tree,0.89
Torus,100,10,facile,37,pca,kmeans,0.081
Torus,100,10,facile,37,pca,tree,0.92
Gauss,100,10,facile,38,tsne,kmeans,0.485
Gauss,100,10,facile,38,tsne,tree,0.92
Gauss,100,10,facile,38,umap,kmeans,0.4572
Gauss,100,10,facile,38,umap,tree,0.88
Gauss,100,10,facile,38,pca,kmeans,0.4302
Gauss,100,10,facile,38,pca,tree,0.9
Torus,100,10,facile,38,tsne,kmeans,0.1516
Torus,100,10,facile,38,tsne,tree,0.9
Torus,100,10,facile,38,umap,kmeans,0.2043
Torus,100,10,facile,38,umap,tree,0.96
Torus,100,10,facile,38,pca,kmeans,0.0161
Torus,100,10,facile,38,pca,tree,0.88
Gauss,100,10,facile,39,tsne,kmeans,0.5135
Gauss,100,10,facile,39,tsne,tree,0.93
Gauss,100,10,facile,39,umap,kmeans,0.3782
